Nome: UBERLANDIA
Codigo Estacao: A507
Latitude: -18.91694443
Longitude: -48.25555555
Altitude: 874.77
Situacao: Operante
Data Inicial: 2005-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2005-01-01;5,6;916;29,6;23,3;18,9;73,1;1,4;
2005-01-02;null;null;null;null;null;69,3;null;
2005-01-03;13,8;916,6;26,8;null;17,8;81,4;2,6;
2005-01-04;null;914,9;26,5;null;19,1;82;2,5;
2005-01-05;null;null;27,1;null;19,6;78,4;null;
2005-01-06;15;915,5;28,6;22,4;18,9;79,1;1,9;
2005-01-07;null;null;30;null;21,1;67,6;null;
2005-01-08;0;915,3;30;23,6;21,2;75;2,1;
2005-01-09;null;null;null;null;null;64;null;
2005-01-10;12,2;913,6;28,6;23,1;19,4;75,5;2,2;
2005-01-11;null;913,4;27,5;null;21;76,1;2,6;
2005-01-12;6,6;913,7;25,2;22,3;20,4;82,7;1,4;
2005-01-13;null;null;null;null;null;80,3;null;
2005-01-14;13;910,8;29,8;24,7;21;73,5;2;
2005-01-15;null;null;28,2;null;22,2;76,9;null;
2005-01-16;null;null;29,7;null;null;71,8;null;
2005-01-17;12,6;910,8;26,5;23,1;19,2;78,9;2,1;
2005-01-18;null;null;27,5;null;20,6;81,5;null;
2005-01-19;null;null;25,8;null;20,9;80,4;null;
2005-01-20;null;913,3;28;null;19,8;73,2;null;
2005-01-21;20,6;915,2;28,4;22,9;19,8;78,7;2,3;
2005-01-22;31;917,2;29,7;23,4;19,1;78,1;1,5;
2005-01-23;null;916;30;null;20;73,5;1,1;
2005-01-24;null;914,2;29,6;null;19,7;68,3;2;
2005-01-25;23,8;913;29;23,4;19;75,7;2,6;
2005-01-26;null;null;null;null;21,3;null;null;
2005-01-27;null;null;null;null;null;null;null;
2005-01-28;null;916,3;29,3;23,1;null;80,5;2,3;
2005-01-29;null;null;null;null;19,3;80,6;null;
2005-01-30;null;913,4;29,3;null;19,1;70,7;1,7;
2005-01-31;2,8;913,2;29,9;23,5;20,2;76,6;2,2;
2005-02-01;null;911,4;29,3;null;20,5;73;1,5;
2005-02-02;2,2;912,9;26,3;21,6;18,9;77,7;2,7;
2005-02-03;null;916,5;26,8;null;18,9;77,6;1,9;
2005-02-04;1,2;918,1;30,6;24,8;21,4;66,8;1,8;
2005-02-05;0;918,3;31;25,1;21,2;65,8;2,5;
2005-02-06;6,4;917,9;26,5;22,2;20,1;77,5;2;
2005-02-07;null;null;null;null;null;55,9;null;
2005-02-08;0;916,3;28,4;23,2;18;61,3;3;
2005-02-09;0;916,3;27,9;22,7;17;53,3;3,1;
2005-02-10;0;914,3;27,4;22,9;17,1;50,7;2;
2005-02-11;0;912,4;29,3;24;17,7;50,8;1,4;
2005-02-12;0;911,2;30,3;24,5;19,4;57,8;1,8;
2005-02-13;0;911,9;30,4;24,8;19,8;54,2;1,7;
2005-02-14;0;912,2;30;24,3;18;50,1;1,8;
2005-02-15;0;911;29,8;24,3;19,6;54,5;1,1;
2005-02-16;,6;911,6;31,7;25,1;21,3;58,8;1,1;
2005-02-17;null;null;30,9;null;22,3;59,4;null;
2005-02-18;0;916;30,2;23,9;21,8;73,9;2,2;
2005-02-19;30,2;916,1;30,3;24;19,7;75,8;1,4;
2005-02-20;null;914,9;32,1;null;21,9;59,4;1,8;
2005-02-21;0;913,6;31,8;25,8;20,6;53,9;2,5;
2005-02-22;0;913,9;31,5;25,5;19,6;50,7;2,1;
2005-02-23;0;915,5;32,2;26,6;20,8;52,6;2,1;
2005-02-24;0;917;32,4;27,1;22,1;53,6;2,2;
2005-02-25;0;915,9;32,3;26,7;21,9;56,2;1,6;
2005-02-26;0;914,7;29,5;24,5;20;68;1,6;
2005-02-27;2,4;null;null;null;20,1;80,4;null;
2005-02-28;null;915,7;28,9;24;null;74;1,6;
2005-03-01;,2;915,3;29,9;24,3;21,1;74,2;1,6;
2005-03-02;31,8;915,4;25,9;22,4;21,1;82,3;2,1;
2005-03-03;15,4;916,6;20,9;19,7;18,8;88,1;2,1;
2005-03-04;25,4;916,6;28,4;null;18;77,3;1,8;
2005-03-05;null;917,2;29,2;null;18,2;70;1,8;
2005-03-06;null;915,9;30,6;null;19,2;56,1;1,6;
2005-03-07;0;915,5;30,5;25;19,9;61,6;2,2;
2005-03-08;0;916;30,8;25;20,8;64,8;2,2;
2005-03-09;0;915,2;29,8;24,6;20,7;66,8;1,6;
2005-03-10;,4;914,8;29,4;24,7;20,8;68,5;2,1;
2005-03-11;0;916,2;29,3;24,5;21,4;71,5;1,9;
2005-03-12;0;915,1;30,8;25;21,7;69,8;1,3;
2005-03-13;1,8;914,1;30,7;25,7;21,8;67,4;1,8;
2005-03-14;0;912,7;30,2;25,2;22,4;69,7;2;
2005-03-15;0;912,7;29,3;24,7;21,7;72,3;2,3;
2005-03-16;14,4;915,9;28,5;23;19,7;79,2;2,7;
2005-03-17;17;916,4;28,3;22,6;19,4;79,2;1,9;
2005-03-18;24,4;916,1;27,9;22,2;19,4;80,5;1,7;
2005-03-19;1,2;915,7;28,1;23,1;19,6;75,3;1,5;
2005-03-20;7,4;916,4;25,4;21,2;19,8;84,5;1,7;
2005-03-21;11,6;916,7;29;23,2;19,9;76,6;1,8;
2005-03-22;,4;null;null;null;20,8;84,2;null;
2005-03-23;null;null;null;null;null;null;null;
2005-03-24;null;null;null;null;null;null;null;
2005-03-25;null;null;null;null;null;null;null;
2005-03-26;null;null;null;null;null;null;null;
2005-03-27;null;null;null;null;null;null;null;
2005-03-28;null;null;null;null;null;null;null;
2005-03-29;null;null;null;null;null;null;null;
2005-03-30;null;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;null;
2005-04-01;null;null;null;null;null;null;null;
2005-04-02;null;null;null;null;null;null;null;
2005-04-03;null;null;null;null;null;null;null;
2005-04-04;null;null;null;null;null;null;null;
2005-04-05;null;null;null;null;null;null;null;
2005-04-06;null;null;null;null;null;null;null;
2005-04-07;null;null;null;null;null;null;null;
2005-04-08;null;null;null;null;null;null;null;
2005-04-09;null;null;null;null;null;null;null;
2005-04-10;null;null;null;null;null;null;null;
2005-04-11;null;null;null;null;null;null;null;
2005-04-12;null;null;null;null;null;null;null;
2005-04-13;null;null;null;null;null;null;null;
2005-04-14;null;null;null;null;null;null;null;
2005-04-15;null;null;null;null;null;null;null;
2005-04-16;null;null;null;null;null;null;null;
2005-04-17;null;null;null;null;null;null;null;
2005-04-18;null;null;null;null;null;null;null;
2005-04-19;null;null;null;null;null;null;null;
2005-04-20;null;null;null;null;null;null;null;
2005-04-21;null;null;null;null;null;null;null;
